,bids_price,bids_qty,asks_price,asks_qty
295,9460.32000000,0.24761200,9509.32000000,0.09662500
296,9460.25000000,0.00172400,9509.37000000,0.00121700
297,9460.12000000,0.00728900,9509.57000000,0.00373700
298,9460.06000000,0.05726900,9509.89000000,0.00825400
299,9460.02000000,0.00211500,9509.98000000,0.01054600
300,9460.01000000,0.01436600,9510.00000000,11.83412500
301,9460.00000000,2.02677700,9510.04000000,0.00133900
302,9459.96000000,0.00515800,9510.06000000,0.01397000
303,9459.95000000,0.04164900,9510.14000000,0.00442600
304,9459.84000000,0.00317200,9510.16000000,0.01177200
305,9459.74000000,0.02140400,9510.20000000,0.05177100
306,9459.66000000,0.00122100,9510.23000000,0.00121200
307,9459.65000000,0.01650100,9510.24000000,0.01074800
308,9459.64000000,0.00200000,9510.32000000,0.00515100
309,9459.60000000,0.01057100,9510.41000000,3.65030000
310,9459.50000000,0.00317000,9510.60000000,0.37140000
311,9459.46000000,0.02114300,9510.65000000,0.07296600
312,9459.40000000,0.00120800,9510.84000000,0.00173600
313,9459.33000000,0.00264300,9511.00000000,1.06894700
314,9459.26000000,0.05612300,9511.13000000,0.00383700
315,9459.18000000,0.06990000,9511.22000000,0.00116700
316,9459.02000000,0.02642900,9511.29000000,0.01489000
317,9459.00000000,1.55399300,9511.33000000,0.00190900
318,9458.94000000,0.00170900,9511.41000000,0.00187600
319,9458.82000000,0.00275000,9511.72000000,0.00182800
320,9458.68000000,0.01057300,9511.77000000,0.00143800
321,9458.50000000,0.03075500,9512.00000000,2.45481600
322,9458.41000000,0.00500000,9512.13000000,0.00112100
323,9458.40000000,0.00545300,9512.22000000,0.01000000
324,9458.35000000,0.20000000,9512.30000000,0.00202000
325,9458.29000000,0.00122100,9512.38000000,0.01402800
326,9458.26000000,0.00188200,9512.58000000,0.00234100
327,9458.10000000,0.01057200,9512.60000000,0.50713800
328,9458.07000000,0.02000000,9512.62000000,0.00105600
329,9458.04000000,0.00223600,9512.65000000,0.00684000
330,9458.02000000,0.00181500,9512.73000000,0.00120000
331,9458.01000000,0.00116400,9512.75000000,0.01182700
332,9458.00000000,0.50187400,9512.78000000,0.01239500
333,9457.94000000,0.11347700,9512.84000000,0.00312300
334,9457.91000000,0.01000000,9512.91000000,0.00105500
335,9457.89000000,0.00642000,9513.13000000,0.16588400
336,9457.88000000,0.15000000,9513.22000000,0.00579000
337,9457.85000000,0.00730200,9513.23000000,0.00223700
338,9457.78000000,0.00265400,9513.24000000,0.00137400
339,9457.73000000,0.00528700,9513.26000000,0.00143800
340,9457.65000000,0.00422600,9513.50000000,0.47814200
